"ID"	"Key"	"Value"
"id-87bb4ec01da642b3839cd1253f77fe46"	"Directed"	"false"
"id-14b6bae05ea0441f862095ba5e5c783d"	"Directed"	"false"
"id-1315cef68a7f43dbb3b82a7d5da05bac"	"Directed"	"false"
"id-7acb7d91459c4c6c89a3edb068e9d2b0"	"Directed"	"false"
"id-6979c825c4c7472e9ebd98339f2c4a2e"	"Directed"	"false"
"id-c171002a203f46d9b1f92d6a4141dc25"	"Access_Type"	"Write"
"id-e81deebe8898436aa569ec15f1b9e47e"	"Directed"	"false"
"id-4196a58c1aff456482f1d01aa77d1f04"	"Access_Type"	"Write"
"id-8df02a2705ba4be6932cd82aedf98ea5"	"Directed"	"false"
"id-501328e0d2c949c69bd4ceb7b9fd74ad"	"Directed"	"false"
"id-2b8a22b414e74fc3ad5a587e686a11dd"	"Directed"	"false"
"id-b4342bbbb1e0457fb6b42f67e73e5b7a"	"Directed"	"false"
"id-b38b69d687a747f29174fb11750d1690"	"Directed"	"false"
"id-c6fb1ee84d2d4e54b52273d909298932"	"Directed"	"false"
"id-0c01d941d4014de9a43ca9951661cfef"	"Directed"	"false"
"id-04890f3fe3a44e6997eb395d4ceed717"	"Directed"	"false"
"id-71dea392a1224043b52696992b437677"	"Directed"	"false"
"id-c8f5cd95cbc5401986a6a264b1eb5801"	"Directed"	"false"
"id-d4d8ddb7783a43148eddf4ad576383f5"	"Directed"	"false"
"id-420ed7094e024823a9225998bfb3a810"	"Directed"	"false"
"id-624943ea31094c4e8824c88c87caeb0a"	"Directed"	"false"
"id-6eada859278748fdb7819351b36bbdf3"	"Directed"	"false"
"id-761dc65298914565b8c164f5a68dc3aa"	"Directed"	"false"
"id-5a5c0c9e312e4a5bbb134a6831df62d1"	"Directed"	"false"
"id-0be61cc045d44e50944058a50168e94a"	"Access_Type"	"Write"
"id-db140bf6c4e84fa38da09cde01c80c56"	"Directed"	"false"