"ID"	"Type"	"Name"	"Documentation"	"Source"	"Target"	"Specialization"
"id-c171002a203f46d9b1f92d6a4141dc25"	"AccessRelationship"	""	""	"id-8f450c8095304e6fa62ac714612b4857"	"id-c0d131b769de44668e298d31e86a89f8"	""
"id-4196a58c1aff456482f1d01aa77d1f04"	"AccessRelationship"	""	""	"id-8f450c8095304e6fa62ac714612b4857"	"id-eb86f66f6e974cb58e5e3a6e31b40ae3"	""
"id-0be61cc045d44e50944058a50168e94a"	"AccessRelationship"	""	""	"id-c593327bebca488584ab26cf969298ed"	"id-caf35000045b4fa9890ddbc683c08ab8"	""
"id-4727c6fb73b947d0a4f66fa2d58a6871"	"AssignmentRelationship"	""	""	"id-62278c7e91f641e29fbcc9d8815074e3"	"id-940e500a72254a868debe6659fd8b154"	""
"id-87bb4ec01da642b3839cd1253f77fe46"	"AssociationRelationship"	""	""	"id-e7664a68effe418bb10528d3cf233334"	"id-5c3fcb831abe49d98f3acd4eb2134554"	""
"id-14b6bae05ea0441f862095ba5e5c783d"	"AssociationRelationship"	""	""	"id-d5c69e9c18fd4412be71eb243f928b00"	"id-5c3fcb831abe49d98f3acd4eb2134554"	""
"id-1315cef68a7f43dbb3b82a7d5da05bac"	"AssociationRelationship"	""	""	"id-de9c3f6c81fc4ce4ba6ac24d2d24e8d8"	"id-5c3fcb831abe49d98f3acd4eb2134554"	""
"id-7acb7d91459c4c6c89a3edb068e9d2b0"	"AssociationRelationship"	""	""	"id-5c3fcb831abe49d98f3acd4eb2134554"	"id-ae4e3dd4b3bc48e889c88ec09eb32a85"	""
"id-6979c825c4c7472e9ebd98339f2c4a2e"	"AssociationRelationship"	""	""	"id-b287ab2b3c8a4efea3ae5c81ca06ec14"	"id-6cdc2de9365a4918a85c18f2f8d65138"	""
"id-e81deebe8898436aa569ec15f1b9e47e"	"AssociationRelationship"	""	""	"id-065f3a7c0802460d96efb1c959a1017d"	"id-8f450c8095304e6fa62ac714612b4857"	""
"id-8df02a2705ba4be6932cd82aedf98ea5"	"AssociationRelationship"	""	""	"id-509ce33862804dc6b237914984a2bbfd"	"id-aa993b667db24fff83d11b0eb7f4b555"	""
"id-501328e0d2c949c69bd4ceb7b9fd74ad"	"AssociationRelationship"	""	""	"id-f1cf4496d3444c26ab4a6f3155153307"	"id-96b5ac202201498cbd9d09a392ddf730"	""
"id-2b8a22b414e74fc3ad5a587e686a11dd"	"AssociationRelationship"	""	""	"id-235413ef8b12414fa0e797c58fca6c8e"	"id-96b5ac202201498cbd9d09a392ddf730"	""
"id-b4342bbbb1e0457fb6b42f67e73e5b7a"	"AssociationRelationship"	""	""	"id-0ea1034d5d034dd2a1d1d9d9e3dea05e"	"id-96b5ac202201498cbd9d09a392ddf730"	""
"id-b38b69d687a747f29174fb11750d1690"	"AssociationRelationship"	""	""	"id-262d726b15304c7f9c5ca4bb5d24831b"	"id-93e1ecb5c1d04cfa86b4d51b5fdcbdcd"	""
"id-c6fb1ee84d2d4e54b52273d909298932"	"AssociationRelationship"	""	""	"id-262d726b15304c7f9c5ca4bb5d24831b"	"id-5739503dde584b0fb9589d42dfa1b38a"	""
"id-0c01d941d4014de9a43ca9951661cfef"	"AssociationRelationship"	""	""	"id-70886073747447d2a31496a124c47628"	"id-63ae76e0916d4156a3bce3b65e28cabe"	""
"id-04890f3fe3a44e6997eb395d4ceed717"	"AssociationRelationship"	""	""	"id-63ae76e0916d4156a3bce3b65e28cabe"	"id-d01d9829b6c44350a7c881703eea0189"	""
"id-71dea392a1224043b52696992b437677"	"AssociationRelationship"	""	""	"id-63ae76e0916d4156a3bce3b65e28cabe"	"id-93e1ecb5c1d04cfa86b4d51b5fdcbdcd"	""
"id-c8f5cd95cbc5401986a6a264b1eb5801"	"AssociationRelationship"	""	""	"id-d5c69e9c18fd4412be71eb243f928b00"	"id-5779d14c82c5467aa43645a51c8a5e10"	""
"id-d4d8ddb7783a43148eddf4ad576383f5"	"AssociationRelationship"	""	""	"id-7ddcdd54471149c7b66a7f7716900309"	"id-da3846a7b092426f8c3105406cabbc06"	""
"id-420ed7094e024823a9225998bfb3a810"	"AssociationRelationship"	""	""	"id-ccb1579de4c742648205135ad3f02b23"	"id-93e1ecb5c1d04cfa86b4d51b5fdcbdcd"	""
"id-624943ea31094c4e8824c88c87caeb0a"	"AssociationRelationship"	""	""	"id-5739503dde584b0fb9589d42dfa1b38a"	"id-d5e01fdd04c543df8889feef5f37846e"	""
"id-6eada859278748fdb7819351b36bbdf3"	"AssociationRelationship"	""	""	"id-1651fc22944b4a4a8a7d2ae61286dbf3"	"id-315fa84f36534d728f2af12cc712b473"	""
"id-761dc65298914565b8c164f5a68dc3aa"	"AssociationRelationship"	""	""	"id-a40fa21eba6b4f2799cf33a84b3de683"	"id-315fa84f36534d728f2af12cc712b473"	""
"id-5a5c0c9e312e4a5bbb134a6831df62d1"	"AssociationRelationship"	""	""	"id-de9c3f6c81fc4ce4ba6ac24d2d24e8d8"	"id-6dac7ffdc0634719985749291c1c5474"	""
"id-db140bf6c4e84fa38da09cde01c80c56"	"AssociationRelationship"	""	""	"id-caf35000045b4fa9890ddbc683c08ab8"	"id-1dc5fbbf79f54cc6a323a83d57d61aab"	""
"id-df48b7277d134254bbae7f1d7543453e"	"CompositionRelationship"	""	""	"id-f6a9b7e4668c43849395e1c6d85babc0"	"id-b859125d35d140069c3e22280f4f4d03"	""
"id-6e5ab42acb534c7aa42bbf8b976f5847"	"CompositionRelationship"	""	""	"id-f6a9b7e4668c43849395e1c6d85babc0"	"id-be543e25cdf14165a8c0481284c9616a"	""
"id-78dcbdade42f4e42aa3f32b0abbbf554"	"CompositionRelationship"	""	""	"id-f6a9b7e4668c43849395e1c6d85babc0"	"id-e821bb033e9440a1848187cefdd813cd"	""
"id-7222e642a9f14bc6997381379d2d2cf2"	"CompositionRelationship"	""	""	"id-196154c97d8447f7b7ac38e7cdcdba14"	"id-36a0cc5ee2a84a8e94883e83f3127d68"	""
"id-c80ea40b81c84af4ac63a399e55215e3"	"CompositionRelationship"	""	""	"id-de9c3f6c81fc4ce4ba6ac24d2d24e8d8"	"id-196154c97d8447f7b7ac38e7cdcdba14"	""
"id-bfb6a07934b34125ab3e62c9acea130e"	"CompositionRelationship"	""	""	"id-196154c97d8447f7b7ac38e7cdcdba14"	"id-e202c71995134be5ad49590064339a7e"	""
"id-33749f6f96f74cceb8c7c1b94abb20ae"	"CompositionRelationship"	""	""	"id-196154c97d8447f7b7ac38e7cdcdba14"	"id-f6a2fafa3e31429eaeb85ea1d1040f69"	""
"id-c12440da21e14ff8a81c2b0112a69710"	"CompositionRelationship"	""	""	"id-196154c97d8447f7b7ac38e7cdcdba14"	"id-f9325e9ac4e64bfca3bff96f513cd164"	""
"id-70ffb233b3c54f01be835b4008557c3a"	"CompositionRelationship"	""	""	"id-196154c97d8447f7b7ac38e7cdcdba14"	"id-f80f29372ff14a15a0a879f196c9bcfb"	""
"id-5f0ddd8833d9405b89379fb9a9e06e8f"	"CompositionRelationship"	""	""	"id-196154c97d8447f7b7ac38e7cdcdba14"	"id-7172e32943d943dc868a5ef26061f265"	""
"id-54a47fce0dae4d65a684108536278935"	"CompositionRelationship"	""	""	"id-de9c3f6c81fc4ce4ba6ac24d2d24e8d8"	"id-3db407ca799641139c6acebc2fceb76a"	""
"id-0589ea28eed04c2e968cd508b2fa8f99"	"CompositionRelationship"	""	""	"id-3db407ca799641139c6acebc2fceb76a"	"id-d3adefd8975d415fb10224906786dc16"	""
"id-a6f89ca842724f298a69b72a29414c24"	"CompositionRelationship"	""	""	"id-d3adefd8975d415fb10224906786dc16"	"id-c286e3f87329434d83409461be10b6ae"	""
"id-cd09d958768f4279963d44f35a65f676"	"CompositionRelationship"	""	""	"id-d3adefd8975d415fb10224906786dc16"	"id-e3f08ef485644bb596442e73b4142442"	""
"id-0fd22a0cc90140d29582441940f858f1"	"CompositionRelationship"	""	""	"id-d3adefd8975d415fb10224906786dc16"	"id-7f49648ce3704db685f4642476d4ac40"	""
"id-4405ba778a544720b99481f7d5492f31"	"CompositionRelationship"	""	""	"id-a8b3b67db390466fbe17c3cb69f3785f"	"id-07665a1f94f744ab83c04932fd3c76d3"	""
"id-adc8faef00b74123b9ae8d875219db5c"	"CompositionRelationship"	""	""	"id-a8b3b67db390466fbe17c3cb69f3785f"	"id-7d08b865d9fa49e7b30493b1a82cbafc"	""
"id-7c2e8aa148d64327a9c2f6045d2d5d11"	"CompositionRelationship"	""	""	"id-a8b3b67db390466fbe17c3cb69f3785f"	"id-4f29c68cdcf7436e895128b830d435bd"	""
"id-3e4825a7b97d4b0bb1c67c4bc97f6b32"	"CompositionRelationship"	""	""	"id-a1688d2a5bbe40e28ccd21480a427484"	"id-33ae95b5bf2d431f92f2bf95242cc2c9"	""
"id-f9c77d0ab4714f51a64eefda602d22c1"	"CompositionRelationship"	""	""	"id-a1688d2a5bbe40e28ccd21480a427484"	"id-ab77a116c6f741f8a6b9dcc46334be29"	""
"id-f33c3b84adff4f0d83aa44abf8b02178"	"CompositionRelationship"	""	""	"id-3db407ca799641139c6acebc2fceb76a"	"id-a8b3b67db390466fbe17c3cb69f3785f"	""
"id-9d0f814b622a44c299969bb845e9b457"	"CompositionRelationship"	""	""	"id-3db407ca799641139c6acebc2fceb76a"	"id-a1688d2a5bbe40e28ccd21480a427484"	""
"id-a7fde617bd4a447ab4f35895c24d2ef7"	"CompositionRelationship"	""	""	"id-0da214dbb4c94bf88ca1f9c51ec29e79"	"id-0f8726bf297f425dbe1c4ece4ede8618"	""
"id-d2e9c273876944d3a652d945e29bc7cf"	"CompositionRelationship"	""	""	"id-0da214dbb4c94bf88ca1f9c51ec29e79"	"id-6e91fcdcb0de4acabb8a0101ac6c14d2"	""
"id-7ebdd5d89380437fbbc2479f5f3dc69f"	"CompositionRelationship"	""	""	"id-3db407ca799641139c6acebc2fceb76a"	"id-0da214dbb4c94bf88ca1f9c51ec29e79"	""
"id-58dae375b41b40eb808c25b4986aa991"	"CompositionRelationship"	""	""	"id-f6a9b7e4668c43849395e1c6d85babc0"	"id-b2daa6a3af4742959bf9facdf4834edf"	""
"id-ca31be1c896043a798b9009b668bd087"	"CompositionRelationship"	""	""	"id-509ce33862804dc6b237914984a2bbfd"	"id-065f3a7c0802460d96efb1c959a1017d"	""
"id-097d8ba75e294edc8ab244724188b5f5"	"CompositionRelationship"	""	""	"id-509ce33862804dc6b237914984a2bbfd"	"id-eb86f66f6e974cb58e5e3a6e31b40ae3"	""
"id-2db6640e47b941c8823614076639fccc"	"CompositionRelationship"	""	""	"id-e7ef5a20cfa84e62b77bea1a27ab80f2"	"id-2085c3395e354edca56f6fdfdcbd522c"	""
"id-8929431208024fe0bb8d20d914ddb6fa"	"CompositionRelationship"	""	""	"id-5d3b213141be41fc8a2d16dcfa5a74b9"	"id-2085c3395e354edca56f6fdfdcbd522c"	""
"id-8f2187fee8b742c7bdbcb130890aa7cc"	"CompositionRelationship"	""	""	"id-21c9d993ddb9420298082480b35afc1e"	"id-2085c3395e354edca56f6fdfdcbd522c"	""
"id-948fe9576d714699855b93f31c94d45a"	"CompositionRelationship"	""	""	"id-93804103980e4913a72fa64d56a4156f"	"id-2085c3395e354edca56f6fdfdcbd522c"	""
"id-03e4a3b2778540ca97b91d9bced2ab1e"	"CompositionRelationship"	""	""	"id-196154c97d8447f7b7ac38e7cdcdba14"	"id-0ea1034d5d034dd2a1d1d9d9e3dea05e"	""
"id-fef290d55f3b405aadb37d4db3b80854"	"CompositionRelationship"	""	""	"id-25fe08eea41d45329b5b584c56b0a56d"	"id-262d726b15304c7f9c5ca4bb5d24831b"	""
"id-0e837181898145038983328969f3e974"	"CompositionRelationship"	""	""	"id-25fe08eea41d45329b5b584c56b0a56d"	"id-de9c3f6c81fc4ce4ba6ac24d2d24e8d8"	""
"id-8503b1c2622c40e69e9ddae6212a6c1c"	"CompositionRelationship"	""	""	"id-de9c3f6c81fc4ce4ba6ac24d2d24e8d8"	"id-70886073747447d2a31496a124c47628"	""
"id-943fb7ec52de472895e292c4f9aad3e3"	"CompositionRelationship"	""	""	"id-25fe08eea41d45329b5b584c56b0a56d"	"id-1039cbc6e0ed480bbf5dcada395793e5"	""
"id-4c4d5cc7744d46bb9b07f865f21a5e3c"	"CompositionRelationship"	""	""	"id-25fe08eea41d45329b5b584c56b0a56d"	"id-98076a470b254b1ab34514b3b45cd231"	""
"id-13014aaf89e94cd7875f9ad3d455431b"	"CompositionRelationship"	""	""	"id-25fe08eea41d45329b5b584c56b0a56d"	"id-d21563f50f0541ef84d70e0017e0d154"	""
"id-f8e2fa60467c4d2b95cf3a394edf3608"	"CompositionRelationship"	""	""	"id-55996111cf9b4900af15d04d1c2713e3"	"id-509ce33862804dc6b237914984a2bbfd"	""
"id-dbe34bf9d1c8487ca6eb8e6f3a1ec3c4"	"CompositionRelationship"	""	""	"id-55996111cf9b4900af15d04d1c2713e3"	"id-fd15e0161ae946f7820f4bc8f65348ce"	""
"id-f840c610c267434bb50791141ebe8afd"	"CompositionRelationship"	""	""	"id-55996111cf9b4900af15d04d1c2713e3"	"id-abe7ed4a3dd34298bdef8e094b5bc6e8"	""
"id-dbed89218c2b42fc8c7633f1d07be288"	"CompositionRelationship"	""	""	"id-55996111cf9b4900af15d04d1c2713e3"	"id-b8d6711a9b7b4942951d74084ac7bbdb"	""
"id-0efc661e098144bf9d76d25093cf4306"	"CompositionRelationship"	""	""	"id-55996111cf9b4900af15d04d1c2713e3"	"id-6dac7ffdc0634719985749291c1c5474"	""
"id-f7111c7f1d0b40cbb5386bb7798be442"	"FlowRelationship"	""	""	"id-940e500a72254a868debe6659fd8b154"	"id-c593327bebca488584ab26cf969298ed"	""
